time,lat,lon,ele
2021-01-05 23:50:09+00:00,-32.89618003182113,151.66343078948557,35.0
2021-01-05 23:50:10+00:00,-32.89617952890694,151.66343037039042,37.0
2021-01-05 23:50:11+00:00,-32.89617952890694,151.6634300351143,38.0
2021-01-05 23:50:12+00:00,-32.89617902599275,151.6634306218475,39.8
2021-01-05 23:50:13+00:00,-32.89617910981178,151.66343120858073,40.8
2021-01-05 23:50:14+00:00,-32.896178690716624,151.66343070566654,41.2
2021-01-05 23:50:15+00:00,-32.89617902599275,151.66343120858073,41.4
2021-01-05 23:50:16+00:00,-32.896178690716624,151.66343196295202,41.6
2021-01-05 23:50:17+00:00,-32.89617785252631,151.66343238204718,41.6
2021-01-05 23:50:18+00:00,-32.8961783554405,151.66343213059008,41.6
2021-01-05 23:50:19+00:00,-32.896179277449846,151.66343263350427,41.6
2021-01-05 23:50:20+00:00,-32.89617885835469,151.66343288496137,38.6
2021-01-05 23:50:21+00:00,-32.896178271621466,151.66343389078975,45.8
2021-01-05 23:50:22+00:00,-32.89617860689759,151.66343389078975,49.2
2021-01-05 23:50:23+00:00,-32.89617843925953,151.6634353157133,38.2
2021-01-05 23:50:24+00:00,-32.896178271621466,151.66343682445586,32.6
2021-01-05 23:50:25+00:00,-32.89617944508791,151.66343866847456,29.8
2021-01-05 23:50:26+00:00,-32.89617860689759,151.66344135068357,28.4
2021-01-05 23:50:27+00:00,-32.89617709815502,151.66344269178808,27.8
2021-01-05 23:50:28+00:00,-32.89617693051696,151.66344445198774,27.4
2021-01-05 23:50:29+00:00,-32.89617667905986,151.6634448710829,27.2
2021-01-05 23:50:30+00:00,-32.896178187802434,151.66344529017806,27.2
2021-01-05 23:50:31+00:00,-32.8961783554405,151.66344529017806,27.0
2021-01-05 23:50:32+00:00,-32.8961781039834,151.66344311088324,27.0
2021-01-05 23:50:33+00:00,-32.89617785252631,151.6634421888739,27.0
2021-01-05 23:50:34+00:00,-32.8961765114218,151.66344227269292,27.2
2021-01-05 23:50:35+00:00,-32.896172404289246,151.66344545781612,31.2
2021-01-05 23:50:36+00:00,-32.8961714822799,151.6634456254542,34.8
2021-01-05 23:50:37+00:00,-32.89617030881345,151.66344570927322,39.0
2021-01-05 23:50:38+00:00,-32.896166034042835,151.66344922967255,42.2
2021-01-05 23:50:39+00:00,-32.896165531128645,151.66344948112965,44.2
2021-01-05 23:50:40+00:00,-32.89616519585252,151.66344939731061,45.2
2021-01-05 23:50:41+00:00,-32.89616469293833,151.66344914585352,45.8
2021-01-05 23:50:42+00:00,-32.896164525300264,151.66344922967255,46.2
2021-01-05 23:50:43+00:00,-32.89616377092898,151.6634488105774,46.4
2021-01-05 23:50:44+00:00,-32.89616335183382,151.6634480562061,46.4
2021-01-05 23:50:45+00:00,-32.89616335183382,151.66344788856804,46.4
2021-01-05 23:50:46+00:00,-32.8961627651006,151.66344763711095,46.6
2021-01-05 23:50:47+00:00,-32.896162597462535,151.6634480562061,46.6
2021-01-05 23:50:48+00:00,-32.89616226218641,151.66344772092998,46.6
2021-01-05 23:50:49+00:00,-32.896162094548345,151.66344688273966,46.4
2021-01-05 23:50:50+00:00,-32.896162178367376,151.6634469665587,46.4
2021-01-05 23:50:51+00:00,-32.89616234600544,151.6634469665587,46.4
2021-01-05 23:50:52+00:00,-32.89616242982447,151.6634467151016,46.4
2021-01-05 23:50:53+00:00,-32.89616234600544,151.66344604454935,46.4
2021-01-05 23:50:54+00:00,-32.89616234600544,151.66344520635903,46.2
2021-01-05 23:50:55+00:00,-32.89616268128157,151.6634448710829,46.2
2021-01-05 23:50:56+00:00,-32.89616242982447,151.66344445198774,46.2
2021-01-05 23:50:57+00:00,-32.89616134017706,151.66344428434968,46.2
2021-01-05 23:50:58+00:00,-32.896161172538996,151.66344344615936,46.2
2021-01-05 23:50:59+00:00,-32.89616318419576,151.66344319470227,46.2
2021-01-05 23:51:00+00:00,-32.89616335183382,151.66344612836838,46.0
2021-01-05 23:51:01+00:00,-32.89616368710995,151.66345417499542,45.8
2021-01-05 23:51:02+00:00,-32.89616419002414,151.663466244936,45.8
2021-01-05 23:51:03+00:00,-32.896165112033486,151.6634758003056,45.8
2021-01-05 23:51:04+00:00,-32.89616636931896,151.66349365375936,45.8
2021-01-05 23:51:05+00:00,-32.89616913534701,151.6635088250041,46.2
2021-01-05 23:51:06+00:00,-32.89617056027055,151.6635209787637,46.6
2021-01-05 23:51:07+00:00,-32.896166453137994,151.6635331325233,46.8
2021-01-05 23:51:08+00:00,-32.896153293550014,151.66355090215802,47.0
2021-01-05 23:51:09+00:00,-32.89614633657038,151.66355500929058,47.0
2021-01-05 23:51:10+00:00,-32.89613393135369,151.66354671120644,47.4
2021-01-05 23:51:11+00:00,-32.896126974374056,151.66352030821145,47.4
2021-01-05 23:51:12+00:00,-32.89611934684217,151.6634932346642,47.6
2021-01-05 23:51:13+00:00,-32.896109791472554,151.66346247307956,47.6
2021-01-05 23:51:14+00:00,-32.89609973318875,151.66342643089592,46.2
2021-01-05 23:51:15+00:00,-32.89609118364751,151.6633891314268,45.2
2021-01-05 23:51:16+00:00,-32.896084394305944,151.66335434652865,38.4
2021-01-05 23:51:17+00:00,-32.89607668295503,151.66331972926855,32.8
2021-01-05 23:51:18+00:00,-32.89606411010027,151.663283938542,30.0
2021-01-05 23:51:19+00:00,-32.89605128578842,151.66324420832098,28.6
2021-01-05 23:51:20+00:00,-32.89603963494301,151.66320187970996,27.8
2021-01-05 23:51:21+00:00,-32.89603385142982,151.66314898990095,27.4
2021-01-05 23:51:22+00:00,-32.896028654649854,151.6630941722542,27.4
2021-01-05 23:51:23+00:00,-32.896021362394094,151.6630375944078,27.2
2021-01-05 23:51:24+00:00,-32.89600887335837,151.66298168711364,27.2
2021-01-05 23:51:25+00:00,-32.89599294774234,151.6629220917821,27.2
2021-01-05 23:51:26+00:00,-32.895977860316634,151.66285914368927,27.2
2021-01-05 23:51:27+00:00,-32.89596185088158,151.66279141791165,27.2
2021-01-05 23:51:28+00:00,-32.89594450034201,151.66271874681115,29.2
2021-01-05 23:51:29+00:00,-32.895926143974066,151.66264624334872,30.4
2021-01-05 23:51:30+00:00,-32.895905608311296,151.66257583536208,36.2
2021-01-05 23:51:31+00:00,-32.89588725194335,151.66251188144088,39.6
2021-01-05 23:51:32+00:00,-32.8958709910512,151.66245186701417,42.6
2021-01-05 23:51:33+00:00,-32.89585590362549,151.66239185258746,44.0
2021-01-05 23:51:34+00:00,-32.89583729580045,151.66232571937144,45.6
2021-01-05 23:51:35+00:00,-32.8958189394325,151.66225128807127,46.4
2021-01-05 23:51:36+00:00,-32.89579840376973,151.66217199526727,48.4
2021-01-05 23:51:37+00:00,-32.89577543735504,151.66208666749299,50.2
2021-01-05 23:51:38+00:00,-32.89575045928359,151.66199522092938,51.2
2021-01-05 23:51:39+00:00,-32.895723804831505,151.66189832612872,51.4
2021-01-05 23:51:40+00:00,-32.895695473998785,151.66179480962455,51.0
2021-01-05 23:51:41+00:00,-32.89566680788994,151.66168467141688,51.4
2021-01-05 23:51:42+00:00,-32.895642165094614,151.66156908497214,51.8
2021-01-05 23:51:43+00:00,-32.895622635260224,151.66145073249936,52.2
2021-01-05 23:51:44+00:00,-32.895606039091945,151.6613276861608,52.2
2021-01-05 23:51:45+00:00,-32.895591454580426,151.66120355017483,52.0
2021-01-05 23:51:46+00:00,-32.89557661861181,151.6610774025321,51.8
2021-01-05 23:51:47+00:00,-32.895559184253216,151.66094957850873,51.6
2021-01-05 23:51:48+00:00,-32.89554082788527,151.6608236823231,49.4
2021-01-05 23:51:49+00:00,-32.89552431553602,151.66070859879255,47.4
2021-01-05 23:51:50+00:00,-32.89551735855639,151.6606148891151,45.6
2021-01-05 23:51:51+00:00,-32.89552775211632,151.66053651832044,42.8
2021-01-05 23:51:52+00:00,-32.895548874512315,151.6604674514383,40.4
2021-01-05 23:51:53+00:00,-32.89558374322951,151.66040752083063,35.2
2021-01-05 23:51:54+00:00,-32.89562347345054,151.66035211645067,32.6
2021-01-05 23:51:55+00:00,-32.89566932246089,151.66030501015484,30.0
2021-01-05 23:51:56+00:00,-32.895719949156046,151.66026276536286,28.6
2021-01-05 23:51:57+00:00,-32.89578029885888,151.66022806428373,28.0
2021-01-05 23:51:58+00:00,-32.89584458805621,151.66019721888006,27.4
2021-01-05 23:51:59+00:00,-32.89590837433934,151.66016553528607,27.0
2021-01-05 23:52:00+00:00,-32.89597073569894,151.66013435460627,25.8
2021-01-05 23:52:01+00:00,-32.89602940902114,151.6601040121168,25.2
2021-01-05 23:52:02+00:00,-32.89608498103917,151.66007802821696,25.0
2021-01-05 23:52:03+00:00,-32.896134769544005,151.66005154140294,24.8
2021-01-05 23:52:04+00:00,-32.896182127296925,151.6600268986076,25.8
2021-01-05 23:52:05+00:00,-32.89622504264116,151.66000594384968,26.2
2021-01-05 23:52:06+00:00,-32.896260833367705,151.6599890962243,26.8
2021-01-05 23:52:07+00:00,-32.89629436098039,151.65997568517923,27.0
2021-01-05 23:52:08+00:00,-32.89632470346987,151.65996009483933,26.8
2021-01-05 23:52:09+00:00,-32.89635529741645,151.65994299575686,27.0
2021-01-05 23:52:10+00:00,-32.89638463407755,151.65992522612214,27.2
2021-01-05 23:52:11+00:00,-32.89642143063247,151.6599082108587,27.2
2021-01-05 23:52:12+00:00,-32.89645663462579,151.6598921176046,27.4
2021-01-05 23:52:13+00:00,-32.896485133096576,151.65987082757056,27.4
2021-01-05 23:52:14+00:00,-32.896502232179046,151.65984149090946,27.8
2021-01-05 23:52:15+00:00,-32.896508099511266,151.65980980731547,27.8
2021-01-05 23:52:16+00:00,-32.89650935679674,151.65977166965604,28.0
2021-01-05 23:52:17+00:00,-32.89650541730225,151.65972992777824,31.2
2021-01-05 23:52:18+00:00,-32.896497789770365,151.65968550369143,33.0
2021-01-05 23:52:19+00:00,-32.89649024605751,151.659639403224,35.8
2021-01-05 23:52:20+00:00,-32.89648236706853,151.65958994999528,37.4
2021-01-05 23:52:21+00:00,-32.89647323079407,151.65953496471047,38.4
2021-01-05 23:52:22+00:00,-32.89646292105317,151.65947863832116,39.0
2021-01-05 23:52:23+00:00,-32.896453281864524,151.65941887535155,39.0
2021-01-05 23:52:24+00:00,-32.89644464850426,151.65935483761132,39.0
2021-01-05 23:52:25+00:00,-32.89643542841077,151.6592871118337,39.0
2021-01-05 23:52:26+00:00,-32.89642327465117,151.659216536209,39.0
2021-01-05 23:52:27+00:00,-32.89641162380576,151.6591412667185,39.0
2021-01-05 23:52:28+00:00,-32.8964027389884,151.65905979461968,36.4
2021-01-05 23:52:29+00:00,-32.8963924292475,151.65897295810282,33.0
2021-01-05 23:52:30+00:00,-32.89638111367822,151.6588841099292,31.4
2021-01-05 23:52:31+00:00,-32.896370803937316,151.6587929148227,32.6
2021-01-05 23:52:32+00:00,-32.89636091329157,151.65869685821235,33.6
2021-01-05 23:52:33+00:00,-32.89634951390326,151.65859694592655,33.8
2021-01-05 23:52:34+00:00,-32.89633585140109,151.65849175304174,31.8
2021-01-05 23:52:35+00:00,-32.896322356536984,151.65838337503374,30.6
2021-01-05 23:52:36+00:00,-32.89630861021578,151.65827298536897,30.2
2021-01-05 23:52:37+00:00,-32.896294109523296,151.6581630986184,29.6
2021-01-05 23:52:38+00:00,-32.8962817043066,151.6580534633249,29.4
2021-01-05 23:52:39+00:00,-32.89626896381378,151.6579455882311,28.0
2021-01-05 23:52:40+00:00,-32.896254044026136,151.6578417364508,26.8
2021-01-05 23:52:41+00:00,-32.89623610675335,151.65773964487016,26.2
2021-01-05 23:52:42+00:00,-32.89622680284083,151.65764526464045,26.0
2021-01-05 23:52:43+00:00,-32.89621498435736,151.6575526446104,25.8
2021-01-05 23:52:44+00:00,-32.896201740950346,151.65746555663645,25.6
2021-01-05 23:52:45+00:00,-32.896188078448176,151.65738316252828,25.8
2021-01-05 23:52:46+00:00,-32.896174751222134,151.65730588138103,25.8
2021-01-05 23:52:47+00:00,-32.896164609119296,151.65722918696702,25.8
2021-01-05 23:52:48+00:00,-32.8961590770632,151.65715400129557,25.6
2021-01-05 23:52:49+00:00,-32.89615463465452,151.6570779774338,25.6
2021-01-05 23:52:50+00:00,-32.89615027606487,151.65700270794332,23.4
